Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LAND ROVER Range Rover Evoque 286HP,2.0,4.0,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT02.0RTV,small SUV,7,21,29,24,5,No,377
LAND ROVER Range Rover Evoque Cabriolet,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT02.0RTV,small SUV,7,21,29,24,5,No,371
LAND ROVER Range Rover Evoque Cabriolet,2.0,4.0,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT02.0RTV,small SUV,7,21,29,24,5,No,371
LAND ROVER Range Rover LWB,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover LWB,5.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover LWB SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KJLXT05.0FSN,standard SUV,3,13,19,15,2,No,587
LAND ROVER Range Rover LWB SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXT05.0FSN,standard SUV,3,13,19,15,2,No,587
LAND ROVER Range Rover SV,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KJLXT05.0FSN,standard SUV,3,14,19,16,2,No,569
LAND ROVER Range Rover SV,5.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXT05.0FSN,standard SUV,3,14,19,16,2,No,569
LAND ROVER Range Rover SVA,3.0,6.0,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
LAND ROVER Range Rover SVA,3.0,6.0,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
LAND ROVER Range Rover SVA,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT03.0FSP,standard SUV,7,17,23,19,3,No,468
LAND ROVER Range Rover SVA,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT03.0FSP,standard SUV,7,17,23,19,3,No,468
LAND ROVER Range Rover SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KJLXT05.0FSN,standard SUV,3,14,19,16,2,No,569
LAND ROVER Range Rover SVA,5.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXT05.0FSN,standard SUV,3,14,19,16,2,No,569
LAND ROVER Range Rover Sport,3.0,6.0,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
LAND ROVER Range Rover Sport,3.0,6.0,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXT03.0GTR,standard SUV,1,22,28,24,4,No,412
